product_id,store_id,price,promotion,holiday,past_sales,demand,year,month,day,day_of_week,week_of_year,quarter,is_weekend,is_month_end,is_month_start,month_sin,month_cos,dow_sin,dow_cos,category_Electronics,category_Food
23,4,559.41,1,0,186,166,2021,4,8,3,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,False,True
23,3,299.78,0,0,73,48,2023,2,25,5,8,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,False,False
13,3,55.73,0,0,86,66,2022,8,21,6,33,3,1,0,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,False,False
10,0,623.81,1,0,199,236,2023,2,7,1,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,False,True
4,5,774.17,0,0,111,114,2022,8,22,0,34,3,0,0,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,False,True
5,3,185.39,0,0,71,45,2023,5,22,0,21,2,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,False,False
21,0,644.79,0,1,122,108,2022,11,21,0,47,4,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,False,True
4,5,630.6,0,1,130,108,2022,11,29,1,48,4,0,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,True,False
13,3,96.05,0,0,149,144,2022,9,1,3,35,3,0,0,1,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,True,False
22,4,449.57,0,0,120,126,2021,3,28,6,12,1,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,False,False
6,1,190.98,1,0,207,224,2023,12,13,2,50,4,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,False,True
19,0,533.13,0,0,81,108,2022,4,21,3,16,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,False,True
